"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-04-30 21:30:00",990,12.92,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 21:45:00",991,13.01,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 22:00:00",992,13.03,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 22:15:00",993,13.03,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.048
"2018-04-30 22:30:00",994,13.02,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 22:45:00",995,13.02,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 23:00:00",996,13.01,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.036,0.06,0.047
"2018-04-30 23:15:00",997,13,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 23:30:00",998,13,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-04-30 23:45:00",999,13,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.037,0.06,0.047
"2018-05-01 00:00:00",1000,12.99,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 00:15:00",1001,12.98,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 00:30:00",1002,12.97,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
